S_ID,ID,mask,region,ROI,hemisphere,tSNR
TIDES_P2T_S18,18,Ant_Elect_RH,Cortical,Ant,R,149.9905413
TIDES_P2T_S18,18,Mid_Elect_LH,Cortical,Mid,L,169.049036
TIDES_P2T_S18,18,Mid_Elect_RH,Cortical,Mid,R,155.0734183
TIDES_P2T_S18,18,Post_Elect_LH,Cortical,Post,L,193.661727
TIDES_P2T_S18,18,Post_Elect_RH,Cortical,Post,R,168.3258462
TIDES_P2T_S19,19,Ant_Elect_LH,Cortical,Ant,L,191.0585528
TIDES_P2T_S19,19,Ant_Elect_RH,Cortical,Ant,R,114.3475931
TIDES_P2T_S19,19,Mid_Elect_LH,Cortical,Mid,L,187.4821763
TIDES_P2T_S19,19,Mid_Elect_RH,Cortical,Mid,R,124.4985739
TIDES_P2T_S19,19,Post_Elect_LH,Cortical,Post,L,174.537692
TIDES_P2T_S19,19,Post_Elect_RH,Cortical,Post,R,147.0767961
TIDES_P2T_S20,20,Ant_Elect_LH,Cortical,Ant,L,255.2123613
TIDES_P2T_S20,20,Ant_Elect_RH,Cortical,Ant,R,210.3328747
TIDES_P2T_S20,20,Mid_Elect_LH,Cortical,Mid,L,153.6521788
TIDES_P2T_S20,20,Mid_Elect_RH,Cortical,Mid,R,149.796979
TIDES_P2T_S20,20,Post_Elect_LH,Cortical,Post,L,93.25310693
TIDES_P2T_S20,20,Post_Elect_RH,Cortical,Post,R,101.3829539
TIDES_P2T_S21,21,Ant_Elect_LH,Cortical,Ant,L,229.9077958
TIDES_P2T_S21,21,Ant_Elect_RH,Cortical,Ant,R,160.4973183
TIDES_P2T_S21,21,Mid_Elect_LH,Cortical,Mid,L,170.9711257
TIDES_P2T_S21,21,Mid_Elect_RH,Cortical,Mid,R,182.6149625
TIDES_P2T_S21,21,Post_Elect_LH,Cortical,Post,L,154.4727538
TIDES_P2T_S21,21,Post_Elect_RH,Cortical,Post,R,197.7056109
TIDES_P2T_S22,22,Ant_Elect_LH,Cortical,Ant,L,219.7768854
TIDES_P2T_S22,22,Ant_Elect_RH,Cortical,Ant,R,158.8223468
TIDES_P2T_S22,22,Mid_Elect_LH,Cortical,Mid,L,83.9269918
TIDES_P2T_S22,22,Mid_Elect_RH,Cortical,Mid,R,78.82158664
TIDES_P2T_S22,22,Post_Elect_LH,Cortical,Post,L,177.8660343
TIDES_P2T_S22,22,Post_Elect_RH,Cortical,Post,R,197.2623593
