StimType,recording_time,Fs,type,elect,contact,amp,env_max,env_min,env_amp,mod_ratio,distance,d1_amp,d1_env_max,d1_env_min,d1_env_amp,d1_mod_ratio,mv_env_max,mv_env_amp,mv_env_max_norm,mv_env_amp_norm
TI,25.3952,30000,11,c,5,3385.625285,3385.625285,257.8379906,1563.893647,0.923843317,47,-0.021503432,-0.021503432,-0.080185337,0.029340952,2.25E-05,3423.82874,1525.653295,0.043199426,0.965255736
TI,25.3952,30000,11,c,4,3367.668454,3367.668454,149.2155506,1609.226452,0.955691734,50.5,-0.003148889,-0.003148889,-0.003172252,1.17E-05,8.72E-07,3372.292268,1579.03184,0.027995611,1
TI,25.3952,30000,11,c,3,3363.583065,3363.583065,235.6322258,1563.97542,0.929946066,54,-0.006330426,-0.006330426,0.031614974,-0.0189727,-9.60E-06,3351.535664,1549.873141,0.021872188,0.981020511
TI,25.3952,30000,11,c,2,3323.355474,3323.355474,370.520368,1476.417553,0.888510161,57.5,-0.018878258,-0.018878258,0.070405564,-0.044641911,-2.22E-05,3306.124598,1430.625005,0.008475434,0.903401521
TI,25.3952,30000,11,c,1,3231.435257,3231.435257,728.4711734,1251.482042,0.7745673,61,-0.026262919,-0.026262919,0.102271659,-0.064267289,-3.26E-05,3277.395365,1363.949797,0,0.860002417
TI,25.3952,30000,11,a,15,7139.718109,7139.718109,7046.206595,46.75575748,0.013097368,12,-0.005921304,-0.005921304,-0.01514287,0.004610783,1.31E-06,7129.355828,54.82462788,1,0
TI,25.3952,30000,11,a,14,7118.993546,7118.993546,6993.206549,62.89349828,0.017669211,15.5,-0.118755059,-0.118755059,-0.520488884,0.200866912,6.39E-05,6855.714783,520.8244664,0.930586839,0.327681763
TI,25.3952,30000,11,a,13,6308.432693,6308.432693,3402.784406,1452.824144,0.460597494,19,-0.194582573,-0.194582573,-0.514864856,0.160141142,5.62E-05,6394.780592,899.8663771,0.813663959,0.594216451
TI,25.3952,30000,11,a,12,5756.915537,5756.915537,3389.152558,1183.881489,0.411290206,22.5,-0.144490313,-0.144490313,-0.01026359,-0.067113361,-1.28E-05,5787.449578,1206.578749,0.659605325,0.809890455
TI,25.3952,30000,11,a,11,5297.000504,5297.000504,3330.939278,983.0306131,0.371165006,26,-0.116233626,-0.116233626,0.042192071,-0.079212849,-2.24E-05,5332.398732,932.1012174,0.544174844,0.616883346
TI,25.3952,30000,11,a,10,4943.280155,4943.280155,3684.497056,629.3915497,0.254645308,29.5,-0.162827739,-0.162827739,-0.038964821,-0.061931459,-1.53E-05,4799.16233,720.6441879,0.408911421,0.468190994
TI,25.3952,30000,11,a,9,4157.20633,4157.20633,3058.185528,549.510401,0.264365229,33,-0.163882543,-0.163882543,-0.121629309,-0.021126617,-1.37E-07,4298.862946,553.4690596,0.282002969,0.350636788
TI,25.3952,30000,11,a,8,3796.102352,3796.102352,2833.091895,481.5052282,0.253684007,36.5,-0.069037242,-0.069037242,-0.082862403,0.00691258,8.73E-06,3875.751439,542.9713637,0.17467438,0.343255018
TI,25.3952,30000,11,a,7,3673.945635,3673.945635,2478.148711,597.898462,0.325480299,40,-0.022962404,-0.022962404,-0.081075036,0.029056316,1.76E-05,3701.804502,588.1010425,0.130550127,0.374989306
TI,25.3952,30000,11,a,6,3635.365521,3635.365521,2265.566646,684.8994373,0.376798115,43.5,-0.023507362,-0.023507362,-0.113539255,0.045015947,2.78E-05,3606.235086,731.9359957,0.106307509,0.476131167
TI,25.3952,30000,11,a,5,3509.394101,3509.394101,1683.373926,913.0100878,0.520323487,47,-0.039920506,-0.039920506,-0.181062008,0.070570751,4.65E-05,3500.227201,925.6014068,0.079417017,0.612312809
TI,25.3952,30000,11,a,4,3355.921981,3355.921981,998.1325904,1178.894695,0.702575746,50.5,-0.037271346,-0.037271346,-0.171342735,0.067035695,4.72E-05,3371.270255,1158.054911,0.046705151,0.775769463
TI,25.3952,30000,11,a,3,3248.494682,3248.494682,483.9747819,1382.25995,0.851015677,54,-0.020909145,-0.020909145,-0.110426674,0.044758764,3.25E-05,3271.324876,1351.12023,0.021352504,0.911529133
TI,25.3952,30000,11,a,2,3209.557964,3209.557964,225.1458738,1492.206045,0.929851439,57.5,-0.011964982,-0.011964982,-0.034652197,0.011343607,1.04E-05,3207.597484,1445.377066,0.005187094,0.977808654
