ID,StimType,Region,ROI,Ratio,VolBrain,Mean,Std,Median,Min,Max,MeanTEf,StdTEf,MedianTEf
12,TI 1:1,Electrode,Post,1,19106,0.056873245,0.045318927,0.046047028,0,0.227473707,0.102968205,0.064143816,0.090265275
12,TI 1:1,Hippocampus,Ant,1,15050,0.162160695,0.012687139,0.16172941,0.082294106,0.311914474,0.201933337,0.016472876,0.201338962
12,TI 1:1,Hippocampus,Mid,1,15278,0.170755928,0.014500953,0.171298474,0.083599806,0.260582298,0.184906266,0.015718894,0.185060021
12,TI 1:1,Hippocampus,Post,1,11983,0.139775941,0.016958508,0.140087068,0.066335835,0.209017158,0.168508297,0.017337116,0.167859234
12,TI 1:3,Electrode,Ant,1.5,21313,0.118415221,0.070018435,0.122251187,0,0.398770213,0.150341843,0.0682752,0.154485513
12,TI 1:3,Electrode,Mid,1.5,19899,0.078705436,0.06121303,0.065334734,0,0.33142758,0.147164511,0.075111268,0.136562958
12,TI 1:3,Electrode,Post,1.5,19106,0.032516782,0.023361738,0.03025155,0,0.120208772,0.119890816,0.084746103,0.100181578
12,TI 1:3,Hippocampus,Ant,1.5,15050,0.12085299,0.01116502,0.120857351,0.063697316,0.233158603,0.182047016,0.014196803,0.181528797
12,TI 1:3,Hippocampus,Mid,1.5,15278,0.097355097,0.012176615,0.09703891,0.051451027,0.179700315,0.180004302,0.014534591,0.181061536
12,TI 1:3,Hippocampus,Post,1.5,11983,0.069887971,0.008479254,0.070043534,0.033167917,0.104508579,0.182874474,0.019093782,0.179937225
13,TI 1:1,Electrode,Ant,1,21682,0.099376955,0.077005677,0.080465055,0,0.38339232,0.224257996,0.129772698,0.207362248
13,TI 1:1,Electrode,Mid,1,20439,0.105941103,0.080737188,0.087905404,0,0.565426767,0.182012657,0.087549224,0.176307299
13,TI 1:1,Electrode,Post,1,24570,0.086260296,0.063722126,0.075614893,0,0.328536361,0.175255587,0.093632194,0.16832034
13,TI 1:1,Hippocampus,Ant,1,16434,0.192023374,0.017439019,0.191325657,0.095525354,0.349784732,0.22192462,0.021226929,0.222090267
13,TI 1:1,Hippocampus,Mid,1,15543,0.198158385,0.020461037,0.198211089,0.092603028,0.304315865,0.213773793,0.021328488,0.213239759
13,TI 1:1,Hippocampus,Post,1,17413,0.151372886,0.022849616,0.153992623,0.066123895,0.240030989,0.203589713,0.022676622,0.206289008
13,TI 1:3,Electrode,Ant,1.5,21682,0.116481343,0.091641296,0.090947955,0,0.565670711,0.1646618,0.094032798,0.145112861
13,TI 1:3,Electrode,Mid,1.5,20439,0.081609919,0.060638098,0.07049026,0,0.388788747,0.170238308,0.086654417,0.157434002
13,TI 1:3,Electrode,Post,1.5,24570,0.045894253,0.031800412,0.04234807,0,0.16426818,0.21569005,0.128133152,0.208036529
13,TI 1:3,Hippocampus,Ant,1.5,16434,0.125912837,0.014193418,0.126153022,0.054109249,0.220339715,0.206974092,0.01874177,0.206753483
13,TI 1:3,Hippocampus,Mid,1.5,15543,0.101873961,0.011444083,0.10092029,0.048012562,0.157533854,0.218786729,0.025103647,0.216337997
13,TI 1:3,Hippocampus,Post,1.5,17413,0.075686443,0.011424808,0.076996312,0.033061948,0.120015495,0.229698127,0.023466626,0.232593112
14,TI 1:1,Electrode,Ant,1,20143,0.125884855,0.082905309,0.113957222,0,0.375245049,0.299213668,0.14473199,0.307719149
14,TI 1:1,Electrode,Mid,1,19897,0.148528541,0.098848128,0.136952279,0,0.482874265,0.228910654,0.0929513,0.226241164
14,TI 1:1,Electrode,Post,1,22839,0.080784226,0.062574379,0.065721448,0,0.360853945,0.205814942,0.13326404,0.182202618
14,TI 1:1,Hippocampus,Ant,1,12053,0.180211066,0.023388035,0.177018672,0.093290664,0.295366943,0.238583066,0.030959136,0.239290364
14,TI 1:1,Hippocampus,Mid,1,9663,0.218411556,0.027570849,0.21606715,0.094749272,0.355545014,0.2386522,0.028936177,0.237101883
14,TI 1:1,Hippocampus,Post,1,7660,0.171029567,0.024608707,0.170562185,0.107416622,0.245049372,0.230532692,0.02361986,0.23333839
14,TI 1:3,Electrode,Ant,1.5,20143,0.160500377,0.108259583,0.148796617,0,0.514200759,0.214479808,0.104879262,0.213443235
14,TI 1:3,Electrode,Mid,1.5,19897,0.103550714,0.071434688,0.093204191,0,0.372526823,0.227359021,0.092571195,0.236258209
14,TI 1:3,Electrode,Post,1.5,22839,0.043786691,0.032540649,0.03734333,0,0.191373152,0.263302539,0.190477434,0.22924172
14,TI 1:3,Hippocampus,Ant,1.5,12053,0.148477534,0.022141817,0.149194941,0.064062722,0.253003955,0.209397066,0.026054675,0.208403863
14,TI 1:3,Hippocampus,Mid,1.5,9663,0.115211941,0.014932729,0.11295905,0.062703535,0.182908967,0.242766359,0.034418996,0.241021529
14,TI 1:3,Hippocampus,Post,1.5,7660,0.085514783,0.012304353,0.085281093,0.053708311,0.122524686,0.260284255,0.023930166,0.264107078
15,TI 1:1,Electrode,Ant,1,20400,0.157918448,0.075532254,0.176652267,0,0.449330974,0.256218414,0.106419941,0.275220819
15,TI 1:1,Electrode,Mid,1,17320,0.120609199,0.093119732,0.104462112,0,0.528128147,0.181578767,0.095436544,0.182974632
15,TI 1:1,Electrode,Post,1,15182,0.10080938,0.073433735,0.088205529,0,0.395305349,0.219043372,0.115330151,0.212778579
15,TI 1:1,Hippocampus,Ant,1,14212,0.181886118,0.01967717,0.178946368,0.098821782,0.296893954,0.228458377,0.026438606,0.225723255
15,TI 1:1,Hippocampus,Mid,1,13774,0.217722853,0.026009742,0.221864596,0.08272016,0.309033185,0.234176712,0.026683499,0.236271579
15,TI 1:1,Hippocampus,Post,1,14525,0.193861203,0.026936635,0.195486516,0.102109745,0.268061727,0.241755182,0.027373266,0.242331646
15,TI 1:3,Electrode,Ant,1.5,20400,0.165224861,0.082964967,0.178242115,0,0.405061036,0.208580157,0.085796668,0.228529026
15,TI 1:3,Electrode,Mid,1.5,17320,0.080298226,0.058618453,0.071522647,0,0.289825367,0.181679636,0.103885021,0.177236605
15,TI 1:3,Electrode,Post,1.5,15182,0.053648654,0.037019061,0.048834999,0,0.197652675,0.273184512,0.155465806,0.27056443
15,TI 1:3,Hippocampus,Ant,1.5,14212,0.137515318,0.017649309,0.137022056,0.068211876,0.238456413,0.205172247,0.022664896,0.201690024
15,TI 1:3,Hippocampus,Mid,1.5,13774,0.120702079,0.014650354,0.118470639,0.051641285,0.181095943,0.23056299,0.029727387,0.233309498
15,TI 1:3,Hippocampus,Post,1.5,14525,0.096930601,0.013468317,0.097743258,0.051054873,0.134030864,0.265702172,0.029518513,0.263388969
